Date,Bulletin,City,Confirmed,Deaths
17-04-2020,51, ADAMANTINA,1.0,0.0
17-04-2020,51,GUARUJÁ,27.0,2.0
17-04-2020,51,PILAR DO SUL,3.0,0.0
17-04-2020,51, ÁGUAS DE LINDÓIA,1.0,1.0
17-04-2020,51,GUARULHOS,295.0,28.0
17-04-2020,51,PINDAMONHANGABA,2.0,1.0
17-04-2020,51, ÁGUAS DE SÃO PEDRO,1.0,0.0
17-04-2020,51,HORTOLÂNDIA,7.0,0.0
17-04-2020,51,PINDORAMA,2.0,0.0
17-04-2020,51, AGUDOS,4.0,1.0
17-04-2020,51,IBIRA,1.0,0.0
17-04-2020,51,PIRACAIA,1.0,0.0
17-04-2020,51, ALAMBARI,1.0,0.0
17-04-2020,51,IBIÚNA,3.0,0.0
17-04-2020,51,PIRACICABA,19.0,2.0
17-04-2020,51, AMERICANA,24.0,3.0
17-04-2020,51,IGARAPAVA,1.0,0.0
17-04-2020,51,PIRAJUÍ,1.0,0.0
17-04-2020,51, AMÉRICO BRASILIENSE,5.0,0.0
17-04-2020,51,IGARATÁ,1.0,0.0
17-04-2020,51,PIRATININGA,3.0,0.0
17-04-2020,51, AMPARO,5.0,0.0
17-04-2020,51,ILHA COMPRIDA,12.0,0.0
17-04-2020,51,POÁ,22.0,3.0
17-04-2020,51, ANDRADINA,1.0,0.0
17-04-2020,51,ILHA SOLTEIRA,1.0,0.0
17-04-2020,51,PONTAL,4.0,0.0
17-04-2020,51, APIAÍ,1.0,0.0
17-04-2020,51,ILHABELA,3.0,0.0
17-04-2020,51,PORTO FELIZ,1.0,0.0
17-04-2020,51, ARAÇARIGUAMA,1.0,0.0
17-04-2020,51,INDAIATUBA,9.0,0.0
17-04-2020,51,PORTO FERREIRA,2.0,1.0
17-04-2020,51, ARAÇATUBA,37.0,0.0
17-04-2020,51,IRACEMÁPOLIS,1.0,0.0
17-04-2020,51,PRAIA GRANDE,46.0,7.0
17-04-2020,51, ARAÇOIABA DA SERRA,1.0,0.0
17-04-2020,51,ITANHAÉM,3.0,0.0
17-04-2020,51,PRATÂNIA,2.0,0.0
17-04-2020,51, ARANDU,3.0,0.0
17-04-2020,51,ITAPECERICA DA SERRA,42.0,1.0
17-04-2020,51,PRESIDENTE PRUDENTE,6.0,2.0
17-04-2020,51, ARARAQUARA,39.0,2.0
17-04-2020,51,ITAPETININGA,6.0,1.0
17-04-2020,51,PRESIDENTE VENCESLAU,8.0,3.0
17-04-2020,51, ARARAS,6.0,0.0
17-04-2020,51,ITAPEVA,1.0,0.0
17-04-2020,51,PROMISSÃO,2.0,0.0
17-04-2020,51, ARTUR NOGUEIRA,1.0,0.0
17-04-2020,51,ITAPEVI,29.0,5.0
17-04-2020,51,RANCHARIA,1.0,0.0
17-04-2020,51, ARUJÁ,21.0,1.0
17-04-2020,51,ITAPIRA,14.0,3.0
17-04-2020,51,REGISTRO,1.0,1.0
17-04-2020,51, ASSIS,6.0,1.0
17-04-2020,51,ITAQUAQUECETUBA,47.0,0.0
17-04-2020,51,RIBEIRÃO PIRES,28.0,0.0
17-04-2020,51, ATIBAIA,18.0,1.0
17-04-2020,51,ITARARÉ,1.0,0.0
17-04-2020,51,RIBEIRÃO PRETO,72.0,5.0
17-04-2020,51, AVARÉ,9.0,1.0
17-04-2020,51,ITATIBA,2.0,1.0
17-04-2020,51,RINÓPOLIS,1.0,0.0
17-04-2020,51, BADY BASSITT,2.0,0.0
17-04-2020,51,ITATINGA,1.0,0.0
17-04-2020,51,RINCÃO,1.0,0.0
17-04-2020,51, BARIRI,1.0,0.0
17-04-2020,51,ITU,5.0,0.0
17-04-2020,51,RIO CLARO,12.0,3.0
17-04-2020,51, BARRA DO TURVO,1.0,0.0
17-04-2020,51,ITUPEVA,2.0,0.0
